Wall time,Step,Value
1549613960.015964,42910720,1.9130980968475342
1549614210.03093,42936320,2.1328067779541016
1549615560.018252,43074560,1.8827346563339233
1549615681.493382,43087360,2.025559663772583
1549616873.842852,43210240,2.0987908840179443
1549617538.369493,43279360,2.05507493019104
1549617562.93967,43281920,1.7411352396011353
1549618498.487389,43379200,1.9691860675811768
1549619742.045052,43504640,1.9798060655593872
1549621997.381854,43735040,2.0506396293640137
1549622194.438239,43755520,1.991050124168396
1549625094.713554,44052480,1.9733632802963257
1549625474.7759,44090880,1.9028152227401733
1549625575.325318,44101120,2.106351852416992
1549625926.90562,44136960,2.0726232528686523
1549626429.153288,44188160,2.212245225906372
1549628116.423011,44359680,1.8098201751708984
1549628192.192557,44367360,1.9074989557266235
1549628725.224554,44421120,1.815144658088684
1549629066.785824,44456960,1.6745721101760864
1549629144.221969,44464640,1.7127174139022827
1549629366.17136,44487680,1.9485780000686646
1549629963.545428,44549120,2.111906051635742
1549630244.226728,44577280,1.820351004600525
1549630592.959525,44613120,1.9536628723144531
1549630695.037608,44623360,1.9615408182144165
1549631966.233725,44753920,2.03711199760437
1549632942.230123,44853760,1.835830807685852
1549633088.970719,44869120,1.9640223979949951
1549633292.572449,44889600,1.9117155075073242
1549634407.496951,45004800,1.8303556442260742
1549635261.462194,45091840,1.9856798648834229
1549636019.919398,45168640,1.9357763528823853
1549636271.839153,45194240,1.953474521636963
1549637111.979949,45281280,1.926259994506836
1549637990.167311,45370880,1.7855631113052368
1549638312.389517,45404160,1.995912790298462
1549638461.873788,45419520,1.9225077629089355
1549638809.778011,45455360,1.9852107763290405
1549640063.319709,45583360,1.8844935894012451
1549642429.000232,45824000,1.884238362312317
1549643483.672649,45931520,1.8666154146194458
1549644385.982012,46023680,2.058633327484131
1549645210.387428,46108160,1.9506869316101074
1549645688.35335,46156800,1.9385217428207397
1549645863.759013,46174720,1.9057687520980835
1549647065.36381,46297600,1.8258219957351685
1549648457.421128,46440960,2.0160183906555176
1549648507.233994,46446080,1.8570446968078613
1549649773.660019,46576640,1.8858715295791626
1549651911.904431,46794240,1.9038612842559814
1549652164.208719,46819840,1.7718651294708252
1549653091.136517,46914560,2.003133773803711
1549653266.438313,46932480,1.888929843902588
1549653315.674816,46937600,1.8824701309204102
1549657973.111574,47411200,1.891311526298523
1549658097.564322,47424000,1.8291656970977783
1549658873.360857,47503360,1.8791935443878174
1549658899.116376,47505920,1.8853161334991455
1549659047.468133,47521280,2.1302428245544434
1549659524.733937,47569920,1.6851105690002441
1549660272.357874,47646720,1.816003680229187
1549660297.080334,47649280,1.7112491130828857
1549660393.891623,47659520,1.9458246231079102
1549660661.188419,47687680,2.0141046047210693
1549663276.520105,47956480,2.0448997020721436
1549664154.826194,48046080,1.908284306526184
1549668812.417027,48524800,2.069035530090332
1549668962.478982,48540160,1.916106104850769
1549669814.135833,48627200,1.9580633640289307
1549670068.609076,48652800,1.8879445791244507
1549670496.656576,48696320,1.8623647689819336
1549671125.45399,48760320,1.9234737157821655
1549671372.803783,48785920,2.0179085731506348
